id;unterrichtsstunde_id;schueler_id;status;verspaetung_minuten;entschuldigungsstatus;anmerkung
1;1;1;fehlend_unentschuldigt;0;;
2;1;2;anwesend;0;;
3;1;3;fehlend_entschuldigt;0;;
4;1;4;anwesend;0;;
5;1;5;anwesend;0;;
6;1;6;anwesend;0;;
7;1;7;anwesend;0;;
8;1;8;anwesend;0;;
9;1;9;anwesend;0;;
10;1;10;fehlend_entschuldigt;0;;
11;1;11;anwesend;0;;
12;1;12;anwesend;0;;
13;1;13;anwesend;0;;
14;1;14;anwesend;0;;
15;1;15;anwesend;0;;
16;1;16;anwesend;0;;
17;1;17;anwesend;0;;
18;1;18;anwesend;0;;
19;1;19;anwesend;0;;
20;1;20;anwesend;0;;
21;1;21;anwesend;0;;
22;1;22;fehlend_unentschuldigt;0;;
23;1;23;anwesend;0;;
24;1;24;anwesend;0;;
25;1;25;anwesend;0;;
26;1;26;anwesend;0;;
27;1;27;anwesend;0;;
28;1;28;anwesend;0;;
29;2;1;anwesend;0;;
30;2;2;anwesend;0;;
31;2;3;anwesend;0;;
32;2;4;anwesend;0;;
33;2;5;anwesend;0;;
34;2;6;anwesend;0;;
35;2;7;anwesend;0;;
36;2;8;anwesend;0;;
37;2;9;anwesend;0;;
38;2;10;anwesend;0;;
39;2;11;anwesend;0;;
40;2;12;anwesend;0;;
41;2;13;anwesend;0;;
42;2;14;anwesend;0;;
43;2;15;anwesend;0;;
44;2;16;fehlend_entschuldigt;0;;
45;2;17;fehlend_unentschuldigt;0;;
46;2;18;anwesend;0;;
47;2;19;anwesend;0;;
48;2;20;anwesend;0;;
49;2;21;anwesend;0;;
50;2;22;anwesend;0;;
51;2;23;anwesend;0;;
52;2;24;anwesend;0;;
53;2;25;anwesend;0;;
54;2;26;anwesend;0;;
55;2;27;anwesend;0;;
56;2;28;anwesend;0;;
57;3;1;fehlend_entschuldigt;0;;
58;3;2;anwesend;0;;
59;3;3;fehlend_entschuldigt;0;;
60;3;4;anwesend;0;;
61;3;5;anwesend;0;;
62;3;6;anwesend;0;;
63;3;7;anwesend;0;;
64;3;8;anwesend;0;;
65;3;9;anwesend;0;;
66;3;10;anwesend;0;;
67;3;11;anwesend;0;;
68;3;12;anwesend;0;;
69;3;13;anwesend;0;;
70;3;14;anwesend;0;;
71;3;15;anwesend;0;;
72;3;16;anwesend;0;;
73;3;17;anwesend;0;;
74;3;18;anwesend;0;;
75;3;19;anwesend;0;;
76;3;20;anwesend;0;;
77;3;21;anwesend;0;;
78;3;22;anwesend;0;;
79;3;23;anwesend;0;;
80;3;24;anwesend;0;;
81;3;25;anwesend;0;;
82;3;26;anwesend;0;;
83;3;27;anwesend;0;;
84;3;28;anwesend;0;;
85;4;1;anwesend;0;;
86;4;2;anwesend;0;;
87;4;3;anwesend;0;;
88;4;4;anwesend;0;;
89;4;5;anwesend;0;;
90;4;6;anwesend;0;;
91;4;7;anwesend;0;;
92;4;8;anwesend;0;;
93;4;9;anwesend;0;;
94;4;10;verspaetet;27;;
95;4;11;anwesend;0;;
96;4;12;anwesend;0;;
97;4;13;anwesend;0;;
98;4;14;anwesend;0;;
99;4;15;anwesend;0;;
100;4;16;anwesend;0;;
101;4;17;anwesend;0;;
102;4;18;anwesend;0;;
103;4;19;anwesend;0;;
104;4;20;anwesend;0;;
105;4;21;fehlend_entschuldigt;0;;
106;4;22;anwesend;0;;
107;4;23;anwesend;0;;
108;4;24;anwesend;0;;
109;4;25;anwesend;0;;
110;4;26;anwesend;0;;
111;4;27;anwesend;0;;
112;4;28;anwesend;0;;
113;6;1;anwesend;0;;
114;6;2;anwesend;0;;
115;6;3;anwesend;0;;
116;6;4;anwesend;0;;
117;6;5;anwesend;0;;
118;6;6;fehlend_unentschuldigt;0;;
119;6;7;anwesend;0;;
120;6;8;anwesend;0;;
121;6;9;anwesend;0;;
122;6;10;anwesend;0;;
123;6;11;anwesend;0;;
124;6;12;anwesend;0;;
125;6;13;anwesend;0;;
126;6;14;anwesend;0;;
127;6;15;anwesend;0;;
128;6;16;anwesend;0;;
129;6;17;anwesend;0;;
130;6;18;fehlend_unentschuldigt;0;;
131;6;19;fehlend_entschuldigt;0;;
132;6;20;anwesend;0;;
133;6;21;fehlend_entschuldigt;0;;
134;6;22;anwesend;0;;
135;6;23;anwesend;0;;
136;6;24;anwesend;0;;
137;6;25;anwesend;0;;
138;6;26;anwesend;0;;
139;6;27;anwesend;0;;
140;6;28;anwesend;0;;
141;7;29;anwesend;0;;
142;7;30;anwesend;0;;
143;7;31;anwesend;0;;
144;7;32;anwesend;0;;
145;7;33;anwesend;0;;
146;7;34;fehlend_entschuldigt;0;;
147;7;35;anwesend;0;;
148;7;36;anwesend;0;;
149;7;37;anwesend;0;;
150;7;38;anwesend;0;;
151;7;39;anwesend;0;;
152;7;40;anwesend;0;;
153;7;41;anwesend;0;;
154;7;42;anwesend;0;;
155;7;43;anwesend;0;;
156;7;44;fehlend_unentschuldigt;0;;
157;7;45;anwesend;0;;
158;7;46;anwesend;0;;
159;7;47;anwesend;0;;
160;7;48;anwesend;0;;
161;7;49;anwesend;0;;
162;7;50;anwesend;0;;
163;7;51;anwesend;0;;
164;7;52;anwesend;0;;
165;7;53;anwesend;0;;
166;7;54;anwesend;0;;
167;7;55;fehlend_entschuldigt;0;;
168;7;56;anwesend;0;;
169;7;57;anwesend;0;;
170;8;29;anwesend;0;;
171;8;30;anwesend;0;;
172;8;31;anwesend;0;;
173;8;32;anwesend;0;;
174;8;33;anwesend;0;;
175;8;34;anwesend;0;;
